Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6573392001,"07:16 PM, May 01 2025",Delivered,Zomato Delivery,7km,"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Classic Tender",,Buy 1 Get 1 - ₹310.00,325.0,16.25,0.0,0.0,0.0,0.0,341.25,,,,,,19.67,7.6,Correctly,,00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578
20554001,Swaad,greater kailash 2 (gk2),Delhi NCR,6573392002,"01:06 PM, June 17 2025",Delivered,Zomato Delivery,7km,"1 x Fried Chicken Angara Tender, 1 x Bone in Peri Peri Grilled Chicken",,,635.0,16.25,0.0,310.0,0.0,0.0,341.25,,,,,,24.53,2.5,Correctly,,00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578
20554001,Swaad,greater kailash 2 (gk2),Delhi NCR,6573392003,"01:06 PM, July 22 2025",Delivered,Zomato Delivery,7km,"1 x Fried Chicken Angara Tender, 1 x Bone in Peri Peri Grilled Chicken",,,635.0,16.25,0.0,310.0,0.0,0.0,341.25,,,,,,24.53,2.5,Correctly,,00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578
20554001,Swaad,greater kailash 2 (gk2),Delhi NCR,6573392004,"01:06 PM, August 30 2025",Delivered,Zomato Delivery,7km,"1 x Fried Chicken Angara Tender, 1 x Bone in Peri Peri Grilled Chicken",,,635.0,16.25,0.0,310.0,0.0,0.0,341.25,,,,,,24.53,2.5,Correctly,,00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392005,"02:06 PM, February 19 2025",Delivered,Zomato Delivery,4km,1 x Makhani Paneer Pizza,,,579.0,28.95,0.0,0.0,0.0,0.0,607.95,,,,,,19.45,3.2,Correctly,,0101f0cfc46cfc9dfbf9903a8d8aa069eb4481991cf9379675a37059dbd7a961
21077127,Aura Pizzas,Sector 135,Delhi NCR,6573392006,"01:29 PM, February 07 2025",Delivered,Zomato Delivery,6km,1 x Tripple Cheese Pizza,,,569.0,14.23,0.0,284.5,0.0,0.0,298.73,,,,,,0.52,6.2,Incorrectly,,0124c703400c98ddc71ec039b625b3b7bb5d2a831efb9beae7ba73585691af5d
20320607,Swaad,Sector 4,Delhi NCR,6573392007,"02:19 PM, February 22 2025",Delivered,Zomato Delivery,7km,"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Peri Peri Crisper Fries, 1 x Grilled Chicken Angara Tangdi, 1 x AAC Signature Crisper Fries",,Buy 1 Get 1 - ₹604.00,604.0,30.2,0.0,0.0,0.0,0.0,634.2,4.0,,,,,27.43,3.7,Correctly,,01586c146e9adbf9f399fc0e20e64d4945d785980a04b6f679ab6d94e172238e
20320607,Swaad,Sector 4,Delhi NCR,6573392008,"02:19 PM, March 28 2025",Delivered,Zomato Delivery,7km,"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Peri Peri Crisper Fries, 1 x Grilled Chicken Angara Tangdi, 1 x AAC Signature Crisper Fries",,Buy 1 Get 1 - ₹604.00,604.0,30.2,0.0,0.0,0.0,0.0,634.2,4.0,,,,,27.43,3.7,Correctly,,01586c146e9adbf9f399fc0e20e64d4945d785980a04b6f679ab6d94e172238e
20320607,Swaad,Sector 4,Delhi NCR,6573392009,"07:08 PM, April 13 2025",Delivered,Zomato Delivery,7km,"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Peri Peri Tender, 1 x AAC Signature Crisper Fries, 1 x Grilled Chicken Angara Boneless Breast",,Flat 20% off,1349.0,55.31,242.82,0.0,0.0,0.0,1161.49,1.0,Completely cold food. The chicken was also dry and chewy. It was very difficult to swallow it,,,,18.28,1.1,Correctly,,01586c146e9adbf9f399fc0e20e64d4945d785980a04b6f679ab6d94e172238e
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392010,"07:11 PM, May 18 2025",Delivered,Zomato Delivery,7km,"1 x Grilled Chicken Tangdi, 1 x All About Chicken Pizza, 1 x Peri Peri Crisper Fries",,Flat Rs.175 off,1147.0,49.5,157.0,0.0,0.0,0.0,1039.5,3.0,,,,,24.08,9.5,Correctly,,01586c146e9adbf9f399fc0e20e64d4945d785980a04b6f679ab6d94e172238e
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392011,"08:29 PM, February 05 2025",Delivered,Zomato Delivery,11km,"1 x Masala Potato Pide, 1 x Bellpepper Onion Pizza",,Flat Rs.200 off,1118.0,48.0,158.0,0.0,0.0,0.0,1008.0,,,,,,15.07,0.8,Correctly,,01ef393151c4b8196ce158f41339db967df4e631d3538d5e6601b21716365403
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392012,"08:29 PM, March 19 2025",Delivered,Zomato Delivery,11km,"1 x Masala Potato Pide, 1 x Bellpepper Onion Pizza",,Flat Rs.200 off,1118.0,48.0,158.0,0.0,0.0,0.0,1008.0,,,,,,15.07,0.8,Correctly,,01ef393151c4b8196ce158f41339db967df4e631d3538d5e6601b21716365403
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392013,"08:29 PM, April 25 2025",Delivered,Zomato Delivery,11km,"1 x Masala Potato Pide, 1 x Bellpepper Onion Pizza",,Flat Rs.200 off,1118.0,48.0,158.0,0.0,0.0,0.0,1008.0,,,,,,15.07,0.8,Correctly,,01ef393151c4b8196ce158f41339db967df4e631d3538d5e6601b21716365403
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392014,"12:19 PM, May 13 2025",Delivered,Zomato Delivery,11km,1 x Chilli Cheese Garlic Bread,,50% off upto Rs.100,259.0,7.95,100.0,0.0,0.0,0.0,166.95,,,,,,13.67,4.8,Correctly,Poor packaging or spillage,01ef393151c4b8196ce158f41339db967df4e631d3538d5e6601b21716365403
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392015,"12:27 AM, February 04 2025",Delivered,Zomato Delivery,5km,"1 x Mutton Seekh Pide, 1 x Desi Pepperoni Pizza",,,1147.0,57.35,0.0,0.0,0.0,0.0,1204.35,,,,,,13.27,0.8,Correctly,,0274d25c8cad145248d93169c477d9ce4da376431c149499d46e5eb9f3f9c856
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392016,"12:27 AM, March 19 2025",Delivered,Zomato Delivery,5km,"1 x Mutton Seekh Pide, 1 x Desi Pepperoni Pizza",,,1147.0,57.35,0.0,0.0,0.0,0.0,1204.35,,,,,,13.27,0.8,Correctly,,0274d25c8cad145248d93169c477d9ce4da376431c149499d46e5eb9f3f9c856
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392017,"12:27 AM, April 19 2025",Delivered,Zomato Delivery,5km,"1 x Mutton Seekh Pide, 1 x Desi Pepperoni Pizza",,,1147.0,57.35,0.0,0.0,0.0,0.0,1204.35,,,,,,13.27,0.8,Correctly,,0274d25c8cad145248d93169c477d9ce4da376431c149499d46e5eb9f3f9c856
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392018,"12:27 AM, May 31 2025",Delivered,Zomato Delivery,5km,"1 x Mutton Seekh Pide, 1 x Desi Pepperoni Pizza",,,1147.0,57.35,0.0,0.0,0.0,0.0,1204.35,,,,,,13.27,0.8,Correctly,,0274d25c8cad145248d93169c477d9ce4da376431c149499d46e5eb9f3f9c856
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392019,"12:27 AM, June 06 2025",Delivered,Zomato Delivery,5km,"1 x Mutton Seekh Pide, 1 x Desi Pepperoni Pizza",,,1147.0,57.35,0.0,0.0,0.0,0.0,1204.35,,,,,,13.27,0.8,Correctly,,0274d25c8cad145248d93169c477d9ce4da376431c149499d46e5eb9f3f9c856
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392020,"07:48 PM, February 16 2025",Delivered,Zomato Delivery,1km,"1 x Peri Peri Crisper Fries, 1 x Peri Peri Paneer Melt, 1 x Indian Masala Cripser Fries",,Flat 15% off,936.0,40.48,126.36,0.0,0.0,0.0,850.12,,,,,,13.35,1.0,Correctly,,029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392021,"05:20 PM, March 03 2025",Delivered,Zomato Delivery,1km,"1 x Bageecha Pizza, 1 x Peri Peri Crisper Fries",,,877.0,43.85,0.0,0.0,0.0,0.0,920.85,,,,,,12.5,2.9,Correctly,,029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392022,"05:20 PM, April 04 2025",Delivered,Zomato Delivery,1km,"1 x Bageecha Pizza, 1 x Peri Peri Crisper Fries",,,877.0,43.85,0.0,0.0,0.0,0.0,920.85,,,,,,12.5,2.9,Correctly,,029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392023,"07:48 PM, May 18 2025",Delivered,Zomato Delivery,1km,"1 x Peri Peri Crisper Fries, 1 x Peri Peri Paneer Melt, 1 x Indian Masala Cripser Fries",,Flat 15% off,936.0,40.48,126.36,0.0,0.0,0.0,850.12,,,,,,13.35,1.0,Correctly,,029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392024,"05:20 PM, June 11 2025",Delivered,Zomato Delivery,1km,"1 x Bageecha Pizza, 1 x Peri Peri Crisper Fries",,,877.0,43.85,0.0,0.0,0.0,0.0,920.85,,,,,,12.5,2.9,Correctly,,029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392025,"05:20 PM, July 09 2025",Delivered,Zomato Delivery,1km,"1 x Bageecha Pizza, 1 x Peri Peri Crisper Fries",,,877.0,43.85,0.0,0.0,0.0,0.0,920.85,,,,,,12.5,2.9,Correctly,,029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392026,"05:20 PM, August 31 2025",Delivered,Zomato Delivery,1km,"1 x Bageecha Pizza, 1 x Peri Peri Crisper Fries",,,877.0,43.85,0.0,0.0,0.0,0.0,920.85,,,,,,12.5,2.9,Correctly,,029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392027,"04:58 PM, February 08 2025",Delivered,Zomato Delivery,1km,1 x Jamaican Chicken Melt,,Flat Rs.100 off,479.0,18.95,100.0,0.0,0.0,0.0,397.95,,,,,,20.33,2.7,Correctly,,02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392028,"10:52 PM, March 12 2025",Rejected,Zomato Delivery,1km,1 x Tripple Cheese Pizza,,,569.0,14.23,0.0,284.5,0.0,0.0,298.73,,,Cancelled by Customer,160.48,,,,Missed,,02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392029,"10:35 PM, April 02 2025",Delivered,Zomato Delivery,1km,1 x Peri Peri Chicken Melt,,50% off upto Rs.100,499.0,20.45,90.0,0.0,0.0,0.0,429.45,,,,,,12.25,0.4,Correctly,,02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392030,"10:35 PM, May 01 2025",Delivered,Zomato Delivery,1km,1 x Peri Peri Chicken Melt,,50% off upto Rs.100,499.0,20.45,90.0,0.0,0.0,0.0,429.45,,,,,,12.25,0.4,Correctly,,02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392031,"04:58 PM, June 08 2025",Delivered,Zomato Delivery,1km,1 x Jamaican Chicken Melt,,Flat Rs.100 off,479.0,18.95,100.0,0.0,0.0,0.0,397.95,,,,,,20.33,2.7,Correctly,,02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392032,"04:58 PM, July 23 2025",Delivered,Zomato Delivery,1km,1 x Jamaican Chicken Melt,,Flat Rs.100 off,479.0,18.95,100.0,0.0,0.0,0.0,397.95,,,,,,20.33,2.7,Correctly,,02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392033,"05:55 PM, August 25 2025",Delivered,Zomato Delivery,1km,1 x Margherita Pizza,,50% off upto Rs.100,459.0,17.95,100.0,0.0,0.0,0.0,376.95,,,,,,12.13,5.4,Correctly,,02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392034,"08:09 PM, February 03 2025",Delivered,Zomato Delivery,5km,"1 x Peri Peri Paneer Melt, 1 x Cheesy Garlic Bread",,Buy 1 Get 1 - ₹249.00,479.0,23.95,0.0,0.0,0.0,0.0,502.95,,,,,,11.05,0.5,Correctly,,02c6e653a2d9f4e32bcd668da8bb5ab48d2aad3b60fc9c9e312f9e927022f227
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392035,"12:12 AM, March 28 2025",Delivered,Zomato Delivery,5km,2 x Jamaican Chicken Melt,,Flat Rs.200 off,958.0,37.9,200.0,0.0,0.0,0.0,795.9,,,,,,15.9,3.6,Correctly,,02c6e653a2d9f4e32bcd668da8bb5ab48d2aad3b60fc9c9e312f9e927022f227
21309083,Swaad,Shahdara,Delhi NCR,6573392036,"08:52 PM, February 09 2025",Delivered,Zomato Delivery,1km,"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",,Flat 15% off,620.0,26.82,83.7,0.0,0.0,0.0,563.12,,,,,,14.7,5.8,Correctly,,02eb8f056e53c46120a6006ffe32663408a731a170976364054090916a915bc4
21309083,Swaad,Shahdara,Delhi NCR,6573392037,"09:34 PM, March 03 2025",Delivered,Zomato Delivery,1km,1 x Grilled Chicken Peri Peri Tender,,,435.0,21.75,0.0,0.0,0.0,0.0,456.75,,,,,,12.8,3.6,Correctly,,02eb8f056e53c46120a6006ffe32663408a731a170976364054090916a915bc4
21309083,Swaad,Shahdara,Delhi NCR,6573392038,"02:07 PM, April 26 2025",Delivered,Zomato Delivery,1km,"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",,,620.0,31.0,0.0,0.0,0.0,0.0,651.0,,,,,,14.03,0.8,Correctly,,02eb8f056e53c46120a6006ffe32663408a731a170976364054090916a915bc4
21309083,Swaad,Shahdara,Delhi NCR,6573392039,"08:52 PM, May 22 2025",Delivered,Zomato Delivery,1km,"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",,Flat 15% off,620.0,26.82,83.7,0.0,0.0,0.0,563.12,,,,,,14.7,5.8,Correctly,,02eb8f056e53c46120a6006ffe32663408a731a170976364054090916a915bc4
21309083,Swaad,Shahdara,Delhi NCR,6573392040,"08:52 PM, June 03 2025",Delivered,Zomato Delivery,1km,"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",,Flat 15% off,620.0,26.82,83.7,0.0,0.0,0.0,563.12,,,,,,14.7,5.8,Correctly,,02eb8f056e53c46120a6006ffe32663408a731a170976364054090916a915bc4
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392041,"09:06 PM, February 12 2025",Delivered,Zomato Delivery,2km,"1 x Bageecha Pizza, 1 x Masala Paneer Pide",,Flat 15% off,918.0,39.7,123.93,0.0,0.0,0.0,833.77,,,,,,16.3,0.3,Correctly,,033dd07fb46ff02ad85684cd78644bc4706cbb16fbc205dd3ad70695d610a8aa
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392042,"07:43 PM, March 01 2025",Delivered,Zomato Delivery,2km,"1 x Makhani Paneer Pizza, 1 x Margherita Pizza",,Buy 1 Get 1 - ₹519.00,579.0,28.95,0.0,0.0,0.0,0.0,607.95,,,,,,21.92,0.6,Correctly,,033dd07fb46ff02ad85684cd78644bc4706cbb16fbc205dd3ad70695d610a8aa
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392043,"07:43 PM, April 08 2025",Delivered,Zomato Delivery,2km,"1 x Makhani Paneer Pizza, 1 x Margherita Pizza",,Buy 1 Get 1 - ₹519.00,579.0,28.95,0.0,0.0,0.0,0.0,607.95,,,,,,21.92,0.6,Correctly,,033dd07fb46ff02ad85684cd78644bc4706cbb16fbc205dd3ad70695d610a8aa
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392044,"09:27 PM, May 18 2025",Delivered,Zomato Delivery,13km,1 x Peri Peri Paneer Pizza,,,639.0,31.95,0.0,0.0,0.0,0.0,670.95,,,,,,8.38,1.3,Correctly,,033dd07fb46ff02ad85684cd78644bc4706cbb16fbc205dd3ad70695d610a8aa
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392045,"09:23 PM, February 12 2025",Delivered,Zomato Delivery,6km,"1 x Mutton Seekh Pide, 1 x Murgh Amritsari Garlic Bread",,Buy 1 Get 1 - ₹399.00,407.0,20.35,0.0,0.0,0.0,0.0,427.35,5.0,,,,,,,Missed,,03783d263bad575a2372496d582ed690c4a38555807eebac4b199f27ddd76468
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392046,"08:49 PM, March 02 2025",Delivered,Zomato Delivery,6km,"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",,Buy 1 Get 1 - ₹499.00,499.0,24.95,0.0,0.0,0.0,0.0,523.95,5.0,,,,,10.9,1.2,Correctly,,03783d263bad575a2372496d582ed690c4a38555807eebac4b199f27ddd76468
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392047,"08:49 PM, April 04 2025",Delivered,Zomato Delivery,6km,"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",,Buy 1 Get 1 - ₹499.00,499.0,24.95,0.0,0.0,0.0,0.0,523.95,5.0,,,,,10.9,1.2,Correctly,,03783d263bad575a2372496d582ed690c4a38555807eebac4b199f27ddd76468
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392048,"09:23 PM, May 09 2025",Delivered,Zomato Delivery,6km,"1 x Mutton Seekh Pide, 1 x Murgh Amritsari Garlic Bread",,Buy 1 Get 1 - ₹399.00,407.0,20.35,0.0,0.0,0.0,0.0,427.35,5.0,,,,,,,Missed,,03783d263bad575a2372496d582ed690c4a38555807eebac4b199f27ddd76468
20659868,Aura Pizzas,Sector 4,Delhi NCR,6573392049,"08:49 PM, June 03 2025",Delivered,Zomato Delivery,6km,"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",,Buy 1 Get 1 - ₹499.00,499.0,24.95,0.0,0.0,0.0,0.0,523.95,5.0,,,,,10.9,1.2,Correctly,,03783d263bad575a2372496d582ed690c4a38555807eebac4b199f27ddd76468
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392050,"07:34 PM, February 07 2025",Delivered,Zomato Delivery,3km,"1 x Jamaican Chicken Melt, 1 x Tripple Cheese Pizza, 1 x Margherita Pizza",,,1956.0,97.8,0.0,0.0,0.0,0.0,2053.8,,,,,,19.07,0.9,Correctly,,03da70567d6cfe84ef87a836079d4de9e6ee4c2813d99dfd9555d297b97be6e0
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573392051,"07:34 PM, March 10 2025",Delivered,Zomato Delivery,3km,"1 x Jamaican Chicken Melt, 1 x Tripple Cheese Pizza, 1 x Margherita Pizza",,,1956.0,97.8,0.0,0.0,0.0,0.0,2053.8,,,,,,19.07,0.9,Correctly,,03da70567d6cfe84ef87a836079d4de9e6ee4c2813d99dfd9555d297b97be6e0
20882713,Swaad,DLF Phase 1,Delhi NCR,6573392052,"10:32 PM, February 08 2025",Delivered,Zomato Delivery,8km,1 x Bone in Jamaican Grilled Chicken,,Flat Rs.80 off,585.0,25.25,80.0,0.0,0.0,0.0,530.25,,,,,,14.11,3.4,Correctly,,04062455a01d26b69c48fff955f020f9fbe18caa295e70bb719437ce93c377f8
20882713,Swaad,DLF Phase 1,Delhi NCR,6573392053,"10:32 PM, March 11 2025",Delivered,Zomato Delivery,8km,1 x Bone in Jamaican Grilled Chicken,,Flat Rs.80 off,585.0,25.25,80.0,0.0,0.0,0.0,530.25,,,,,,14.11,3.4,Correctly,,04062455a01d26b69c48fff955f020f9fbe18caa295e70bb719437ce93c377f8
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6573392054,"11:07 AM, February 17 2025",Delivered,Zomato Delivery,7km,1 x Bone in Smoky Bbq Grilled Chicken,,Flat Rs.80 off,420.0,17.0,80.0,0.0,0.0,0.0,357.0,,,,,,16.75,1.1,Correctly,,047db33af27f924ec0fd806b83cfac3a595eeb533bc23eb90256d5a68df07282
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6573392055,"11:07 AM, March 06 2025",Delivered,Zomato Delivery,7km,1 x Bone in Smoky Bbq Grilled Chicken,,Flat Rs.80 off,420.0,17.0,80.0,0.0,0.0,0.0,357.0,,,,,,16.75,1.1,Correctly,,047db33af27f924ec0fd806b83cfac3a595eeb533bc23eb90256d5a68df07282
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6573392056,"12:57 PM, April 24 2025",Delivered,Zomato Delivery,7km,1 x Bone in Kabuli Grilled Chicken,,Flat Rs.80 off,480.0,20.0,80.0,0.0,0.0,0.0,420.0,,,,,,23.58,3.0,Correctly,,047db33af27f924ec0fd806b83cfac3a595eeb533bc23eb90256d5a68df07282
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6573392057,"12:24 PM, May 02 2025",Delivered,Zomato Delivery,7km,"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Animal Fries",,Buy 1 Get 1 - ₹355.00,420.0,21.0,0.0,0.0,0.0,0.0,441.0,,,,,,21.33,6.9,Incorrectly,,047db33af27f924ec0fd806b83cfac3a595eeb533bc23eb90256d5a68df07282
